temperature,time
temperature,time
25.4,2020-02-21 17:33:40.426744
25.4,2020-02-21 17:33:41.449476
25.4,2020-02-21 17:33:42.472982
25.4,2020-02-21 17:33:43.518639
25.4,2020-02-21 17:33:44.542247
25.4,2020-02-21 17:33:45.565808
25.4,2020-02-21 17:33:46.593433
25.4,2020-02-21 17:33:47.616983
25.4,2020-02-21 17:33:48.646933
temperature,time
25.4,2020-02-21 17:34:00.780350
25.4,2020-02-21 17:34:01.811947
25.4,2020-02-21 17:34:02.837602
25.4,2020-02-21 17:34:03.860577
25.4,2020-02-21 17:34:04.883384
25.4,2020-02-21 17:34:05.910566
25.4,2020-02-21 17:38:21.973265
25.4,2020-02-21 17:38:22.997337
25.4,2020-02-21 17:38:24.022425
25.4,2020-02-21 17:38:25.048863
25.4,2020-02-21 17:38:26.076660
25.5,2020-02-21 17:38:27.106032
25.5,2020-02-21 17:38:28.130610
24.4,2020-02-21 17:20:29.560410
24.5,2020-02-21 17:20:30.583923
24.5,2020-02-21 17:20:31.607914
24.5,2020-02-21 17:20:32.631640
24.5,2020-02-21 17:20:33.655708
25.0,2020-02-21 17:35:45.540253
25.0,2020-02-21 17:35:46.568278
25.0,2020-02-21 17:35:47.598114
25.0,2020-02-21 17:35:48.623415
25.0,2020-02-21 17:35:49.648936
25.0,2020-02-21 17:35:50.675144
25.0,2020-02-21 17:35:51.702975
25.0,2020-02-21 17:35:52.728126
25.0,2020-02-21 17:35:53.754691
25.0,2020-02-21 17:35:54.779316
25.0,2020-02-21 17:35:55.803452
25.0,2020-02-21 17:35:56.827833
25.0,2020-02-21 17:35:57.853721
25.0,2020-02-21 17:35:58.878994
25.0,2020-02-21 17:36:14.940949
25.1,2020-02-21 17:37:24.011501
25.1,2020-02-21 17:37:25.036908
25.1,2020-02-21 17:37:26.064143
25.1,2020-02-21 17:37:27.089160
25.1,2020-02-21 17:37:28.113282
25.1,2020-02-21 17:37:29.141285
25.1,2020-02-21 17:37:30.166055
25.1,2020-02-21 17:37:31.190781
25.0,2020-02-21 17:37:52.358978
25.0,2020-02-21 17:37:53.388303
25.0,2020-02-21 17:37:54.413023
25.0,2020-02-21 17:37:55.438348
25.6,2020-02-21 18:32:20.486393
25.6,2020-02-21 18:33:14.396376
25.6,2020-02-21 18:33:34.008016
25.6,2020-02-21 18:34:07.297400
25.6,2020-02-21 18:34:08.916824
25.6,2020-02-21 18:34:10.483855
25.7,2020-02-21 18:34:12.063063
25.7,2020-02-21 18:34:13.641093
25.7,2020-02-21 18:34:15.201566
25.7,2020-02-21 18:34:16.771636
25.7,2020-02-21 18:34:18.353064
25.7,2020-02-21 18:34:19.926969
25.7,2020-02-21 18:34:22.510408
25.7,2020-02-21 18:34:24.073292
25.6,2020-02-21 18:34:25.660505
25.6,2020-02-21 18:34:27.245279
25.7,2020-02-21 18:34:28.817772
25.7,2020-02-21 18:34:30.399135
25.7,2020-02-21 18:34:31.964516
25.7,2020-02-21 18:34:33.565236
25.7,2020-02-21 18:34:35.132294
25.7,2020-02-21 18:34:36.700910
25.7,2020-02-21 18:34:38.282883
25.7,2020-02-21 18:34:40.161516
25.7,2020-02-21 18:34:41.743648
25.7,2020-02-21 18:34:43.312419
25.7,2020-02-21 18:34:44.878342
25.6,2020-02-21 18:34:46.478531
25.6,2020-02-21 18:34:48.047916
25.6,2020-02-21 18:34:49.606526
25.6,2020-02-21 18:34:51.189085
25.6,2020-02-21 18:34:52.758730
25.6,2020-02-21 18:34:54.335418
25.6,2020-02-21 18:34:55.911365
25.6,2020-02-21 18:34:57.468092
25.6,2020-02-21 18:34:59.345366
25.6,2020-02-21 18:35:00.967791
25.6,2020-02-21 18:35:02.540549
25.6,2020-02-21 18:35:04.119668
25.6,2020-02-21 18:35:05.706850
25.6,2020-02-21 18:35:07.284240
25.6,2020-02-21 18:35:08.857223
25.6,2020-02-21 18:35:10.433953
25.6,2020-02-21 18:35:12.046181
25.6,2020-02-21 18:35:14.636942
24.8,2020-02-21 19:59:29.070389
24.8,2020-02-21 19:59:30.906454
24.8,2020-02-21 20:01:42.918236
24.8,2020-02-21 20:01:44.512332
24.8,2020-02-21 20:01:46.076444
24.8,2020-02-21 20:01:47.672900
24.8,2020-02-21 20:01:49.252105
24.8,2020-02-21 20:01:50.838079
24.8,2020-02-21 20:01:52.403906
24.8,2020-02-21 20:01:53.974666
24.8,2020-02-21 20:01:55.574088
24.8,2020-02-21 20:01:57.160481
